lat,lon,day_of_year,sst,ssh,sss,temp_50m,temp_100m,temp_200m,temp_500m
18.02,70.31,36,28.17,0.739,34.91,26.98,24.88,21.02,15.73
10.1,62.84,79,30.43,0.796,34.99,29.65,27.24,23.39,17.56
8.52,73.56,275,27.92,0.678,34.76,27.09,24.01,19.3,13.7
22.73,72.24,278,25.58,0.666,34.73,25.04,22.24,17.04,11.76
17.87,61.46,162,27.8,0.74,35.1,26.64,23.59,19.83,14.81
20.74,67.88,312,26.46,0.62,35.0,25.68,23.06,18.87,13.46
15.7,62.96,17,28.24,0.753,35.14,27.19,24.29,20.01,14.36
9.88,65.74,204,28.8,0.723,34.86,27.63,24.2,20.49,14.74
10.0,60.31,17,28.54,0.751,35.22,27.27,24.12,19.64,14.14
18.97,66.81,202,27.09,0.689,34.96,26.7,24.25,20.14,14.63
14.88,69.35,210,27.25,0.681,34.93,26.22,23.31,19.24,13.09
11.21,70.53,78,29.81,0.786,34.84,28.57,25.61,21.79,15.78
15.87,71.28,56,28.88,0.723,34.81,27.95,25.29,21.32,15.14
9.03,74.22,80,30.18,0.819,34.59,29.23,26.6,22.64,17.14
17.31,63.66,306,26.88,0.726,35.03,25.91,23.02,18.76,13.58
12.3,62.05,58,29.78,0.742,35.09,28.8,25.27,21.02,15.8
20.76,74.48,18,28.04,0.704,34.46,27.37,24.28,20.32,14.43
12.97,62.66,208,27.75,0.688,35.22,26.54,23.05,18.75,12.98
15.28,76.57,135,28.62,0.744,34.43,27.68,24.39,19.96,14.07
8.19,74.32,332,27.96,0.761,34.65,26.71,23.86,20.27,14.8
9.16,68.51,10,29.16,0.678,34.83,27.91,25.09,20.72,15.49
14.28,76.68,69,29.42,0.696,34.51,28.78,26.31,22.03,16.87
15.68,61.66,341,26.96,0.676,35.2,25.98,23.13,19.52,13.82
17.6,65.15,83,29.09,0.75,34.92,27.95,24.81,20.44,14.97
12.67,70.85,109,29.41,0.715,34.81,28.37,25.87,21.9,16.17
19.12,65.95,44,27.78,0.711,35.01,26.64,24.31,20.37,14.88
21.76,75.78,132,27.6,0.668,34.49,26.71,24.15,20.01,14.32
20.48,61.12,18,27.21,0.668,35.25,26.21,23.35,19.1,13.43
8.63,69.34,93,29.83,0.816,34.96,28.82,25.82,21.27,15.37
15.69,70.04,294,26.89,0.663,35.0,26.31,23.12,19.27,12.87
9.68,71.1,148,29.68,0.746,34.73,28.56,25.45,21.79,16.17
11.87,64.35,172,29.14,0.75,35.05,27.97,24.96,21.26,15.86
23.79,66.2,51,27.35,0.734,34.98,26.56,23.3,19.34,13.91
10.28,74.34,19,29.15,0.743,34.69,28.37,25.4,20.51,14.56
15.98,63.31,120,28.66,0.708,35.24,27.81,24.87,21.08,14.9
17.89,74.06,324,26.74,0.695,34.69,25.79,23.33,19.18,13.66
19.24,69.57,225,26.07,0.685,34.87,24.76,21.43,17.09,11.25
16.95,72.96,66,28.41,0.768,34.57,27.46,24.62,20.79,15.15
8.16,72.13,141,30.0,0.769,34.92,29.04,25.75,21.74,15.89
13.22,63.53,189,27.64,0.718,35.01,26.81,23.37,19.67,13.7
16.28,69.67,158,28.43,0.755,34.55,27.74,24.72,20.75,15.6
9.41,74.75,98,29.78,0.771,34.38,28.55,25.67,21.46,16.1
13.61,67.35,158,28.07,0.765,34.94,26.98,24.48,20.24,14.74
8.53,76.43,246,27.09,0.709,34.42,25.96,23.02,19.17,13.94
9.26,67.69,344,28.83,0.81,34.9,27.87,24.81,20.17,14.68
14.35,62.43,236,26.52,0.702,34.95,25.47,22.41,18.11,12.5
10.12,66.62,33,29.31,0.672,34.97,28.34,25.34,20.37,15.36
17.08,76.18,361,27.66,0.684,34.61,26.65,22.75,18.82,13.83
19.03,65.44,241,25.94,0.583,35.0,24.9,21.86,18.02,12.21
20.81,74.76,330,26.23,0.631,34.54,25.59,23.02,18.61,13.19
11.2,74.98,338,28.13,0.699,34.69,27.13,23.55,19.01,13.55
10.68,65.95,275,27.49,0.729,34.92,26.57,23.58,19.86,14.62
9.67,61.42,71,29.74,0.745,35.12,28.61,25.65,21.27,15.45
18.18,72.32,313,26.61,0.724,34.66,25.85,23.2,19.36,14.24
19.3,65.3,216,26.62,0.642,34.96,25.51,22.73,18.62,12.84
8.51,73.31,79,29.81,0.753,34.85,28.52,25.77,21.45,15.91
22.98,67.53,169,27.39,0.642,34.9,26.76,23.71,19.84,14.0
8.83,68.25,298,27.84,0.763,34.74,26.72,23.31,19.23,13.57
16.66,73.22,180,27.2,0.749,34.58,26.2,23.17,19.67,13.86
19.34,66.5,116,28.55,0.721,34.91,27.47,24.57,20.17,14.39
21.94,67.53,260,25.56,0.578,34.82,24.88,22.44,17.81,12.54
19.43,66.4,260,26.03,0.643,35.04,25.51,22.26,18.16,12.65
20.83,66.24,5,27.18,0.695,34.81,26.44,24.22,20.31,15.41
13.43,68.94,297,26.84,0.65,34.83,25.74,22.97,18.79,13.23
21.04,73.75,108,28.74,0.826,34.75,28.15,25.01,21.63,15.9
9.28,66.15,343,27.92,0.78,34.89,26.89,23.76,20.14,14.49
22.32,68.91,360,26.77,0.603,34.89,25.85,23.0,18.69,13.14
16.76,71.4,117,28.88,0.69,34.74,28.19,25.33,21.25,15.85
21.08,64.58,357,26.89,0.695,35.01,25.99,23.15,18.33,12.71
15.24,64.72,331,27.19,0.643,35.06,25.93,23.3,19.62,13.73
18.3,75.87,331,26.68,0.678,34.38,25.7,22.66,18.29,13.07
16.42,72.3,13,27.76,0.703,34.83,26.92,24.1,20.08,14.94
19.71,69.81,142,27.77,0.701,34.62,26.74,23.79,19.58,13.96
9.31,71.01,188,29.04,0.782,34.87,27.57,25.17,20.48,15.42
8.97,60.5,281,27.53,0.768,35.22,26.73,23.3,19.53,13.88
11.95,70.51,115,30.15,0.79,34.83,29.71,27.45,22.93,17.74
10.55,68.66,236,27.86,0.657,35.01,26.7,23.6,19.3,13.51
21.95,69.28,338,25.57,0.643,34.95,24.6,21.46,17.7,12.91
11.51,66.11,10,28.94,0.715,35.04,27.63,24.68,20.19,14.16
23.61,61.39,199,26.31,0.739,35.12,25.33,22.53,19.03,13.2
13.39,63.29,252,26.66,0.697,35.03,25.34,22.38,17.89,13.05
10.91,76.16,50,29.86,0.782,34.64,28.54,25.83,21.26,15.25
20.64,66.95,142,27.74,0.728,34.97,26.88,23.88,19.8,14.22
18.54,67.93,271,26.06,0.65,34.91,24.84,21.82,18.37,12.72
15.97,60.9,16,28.24,0.767,35.16,26.99,23.83,19.73,14.23
16.89,60.64,2,28.05,0.689,35.13,27.15,24.68,20.98,15.55
19.51,72.19,158,27.8,0.742,34.57,26.79,24.03,19.39,13.82
11.66,69.15,30,29.06,0.805,34.9,28.08,24.83,20.58,15.31
23.94,68.65,82,27.58,0.665,34.84,26.71,23.75,19.53,14.45
23.6,64.13,31,27.61,0.712,35.01,26.76,23.51,18.91,13.23
18.41,72.66,236,26.52,0.682,34.51,25.76,23.74,19.0,12.97
11.19,62.86,333,27.83,0.662,35.09,26.66,23.88,19.69,13.98
18.88,63.23,148,27.93,0.653,34.93,27.17,23.75,20.28,14.87
9.16,67.83,177,29.25,0.711,34.84,28.07,24.8,20.79,15.34
8.49,64.87,35,29.53,0.754,35.08,28.25,25.0,20.63,15.39
12.12,64.21,23,29.15,0.761,35.04,27.9,25.11,20.19,15.25
15.4,70.97,106,28.91,0.723,34.75,27.61,24.24,19.99,14.55
21.89,71.07,97,28.33,0.797,34.68,27.24,23.93,19.65,14.03
19.63,74.02,230,26.44,0.704,34.58,25.2,22.27,18.33,12.61
19.88,67.1,227,26.1,0.671,35.07,25.02,22.16,17.96,12.4
14.81,61.24,100,29.14,0.727,35.23,28.32,25.29,21.44,16.2
13.53,64.65,55,28.49,0.727,34.97,27.48,24.49,20.69,15.01
13.94,76.66,195,27.63,0.743,34.52,26.55,23.25,19.12,13.8
23.8,70.14,8,26.32,0.696,34.82,25.38,22.66,18.54,12.72
8.64,72.07,315,28.59,0.764,34.76,27.47,23.99,19.9,14.4
21.87,60.13,128,27.42,0.68,35.19,26.58,23.69,18.89,12.93
17.26,68.81,32,29.02,0.72,34.67,27.86,25.53,21.72,16.05
15.02,60.64,93,29.3,0.692,35.17,28.41,25.46,22.04,16.98
19.6,69.68,7,27.25,0.709,34.8,26.29,23.02,18.94,13.52
15.79,75.65,258,26.92,0.617,34.78,26.01,23.17,18.76,13.22
21.97,76.46,341,26.23,0.656,34.81,25.38,22.46,18.36,12.94
22.41,69.19,220,25.69,0.624,34.9,24.58,21.82,17.55,12.2
14.75,67.79,240,27.01,0.689,34.82,26.28,23.49,19.4,14.0
12.43,76.07,106,29.71,0.808,34.63,28.67,26.06,21.83,16.4
17.48,71.45,36,28.66,0.784,34.57,27.65,24.61,19.65,13.85
22.6,61.1,45,27.8,0.732,35.1,27.09,23.97,19.91,13.97
11.37,67.92,298,27.24,0.657,34.72,25.95,22.88,19.67,14.39
17.97,64.08,309,26.93,0.677,35.09,25.7,22.66,18.03,12.14
18.1,67.99,9,28.02,0.676,34.76,27.21,24.46,20.8,15.41
19.73,67.74,87,28.52,0.699,34.86,27.86,24.6,20.66,15.46
10.11,69.9,331,28.38,0.741,34.8,27.36,24.21,19.74,13.93
19.45,66.07,177,28.05,0.673,34.95,27.32,24.5,19.86,14.17
22.54,62.79,130,27.6,0.68,35.04,26.52,24.04,20.04,14.5
10.87,68.56,195,28.04,0.668,34.89,26.91,23.81,19.85,14.09
11.8,74.11,11,28.48,0.751,34.51,27.31,24.54,19.83,14.06
23.54,71.29,306,25.24,0.613,34.92,24.64,21.77,18.04,12.38
10.9,65.75,122,29.78,0.675,34.87,28.82,26.13,21.83,16.1
21.67,75.9,235,25.52,0.701,34.57,24.88,22.05,18.15,12.79
15.88,75.51,331,27.54,0.737,34.64,26.45,23.59,19.77,14.29
11.96,63.56,31,28.82,0.654,35.13,27.55,25.49,21.75,15.81
21.93,60.67,348,26.97,0.709,35.25,26.4,24.42,19.92,14.94
15.12,72.6,224,26.38,0.722,34.54,25.41,22.47,19.17,13.58
16.24,74.07,153,28.23,0.71,34.55,27.49,24.36,19.89,14.37
13.75,76.45,212,27.17,0.691,34.56,26.15,23.38,19.63,13.98
17.49,75.13,92,29.18,0.733,34.64,28.69,26.01,21.71,16.21
10.62,70.21,331,28.45,0.744,34.92,27.62,25.14,21.06,15.29
14.26,69.01,348,27.01,0.722,34.79,25.99,22.45,18.3,12.39
23.51,60.47,129,27.89,0.659,35.09,27.08,24.13,20.22,14.62
12.13,64.19,197,28.4,0.694,34.98,27.37,24.37,20.69,15.62
18.51,67.81,42,28.32,0.724,35.11,27.18,24.07,19.73,14.4
13.2,70.68,228,27.55,0.709,34.92,26.44,23.13,18.68,13.55
20.38,69.47,194,27.06,0.698,34.8,26.08,23.16,18.24,12.56
10.09,72.62,18,29.31,0.742,34.82,28.28,25.62,21.59,15.85
23.52,64.76,333,25.72,0.606,34.95,24.74,21.57,17.4,11.75
15.26,69.6,243,27.24,0.726,34.91,26.23,23.39,19.34,13.99
11.78,61.5,276,27.3,0.64,35.0,26.18,23.49,19.34,14.15
9.18,67.03,127,29.85,0.746,34.95,28.77,26.39,22.59,17.01
10.72,72.75,75,29.92,0.768,34.79,29.14,26.45,22.15,16.23
16.32,71.79,62,28.42,0.742,34.7,27.69,24.79,20.83,15.62
13.39,76.84,288,26.56,0.655,34.59,25.29,22.55,18.44,13.27
21.26,64.72,186,26.9,0.707,34.95,26.04,23.41,18.93,13.58
14.89,68.47,178,28.52,0.776,34.89,27.48,24.63,20.25,15.18
11.98,65.6,166,28.38,0.697,34.93,27.21,24.6,20.87,14.8
17.87,67.49,183,27.56,0.712,34.98,27.07,24.11,20.34,14.57
19.31,74.57,28,27.64,0.709,34.49,26.65,24.15,20.35,14.85
10.67,71.63,330,27.66,0.686,34.63,26.51,23.51,19.34,13.52
10.68,75.0,247,27.67,0.624,34.73,26.96,23.94,18.94,13.72
8.59,63.46,337,28.58,0.742,34.82,27.67,24.66,19.89,14.04
19.78,74.85,22,27.44,0.712,34.54,26.47,23.32,19.11,14.02
18.62,61.02,96,29.02,0.784,35.15,28.26,25.6,20.89,15.14
15.59,75.11,122,29.02,0.727,34.63,28.01,24.67,21.03,15.95
21.51,65.59,250,25.8,0.617,34.93,24.92,21.98,17.55,11.81
20.89,65.35,308,26.17,0.619,34.87,25.15,22.44,18.23,12.02
17.37,68.71,334,27.6,0.578,34.97,26.18,23.39,19.99,14.53
21.89,75.99,326,26.4,0.646,34.67,25.27,22.43,18.75,13.45
11.29,60.81,137,29.14,0.855,35.13,27.87,24.9,20.94,15.12
9.79,65.99,277,27.53,0.747,34.78,26.53,23.7,19.69,14.67
12.32,74.56,320,27.55,0.657,34.65,26.55,23.42,19.02,13.93
8.91,66.73,332,28.42,0.702,34.95,27.53,24.54,20.74,15.19
16.5,63.39,61,28.84,0.714,35.0,27.65,24.71,20.7,15.29
22.99,67.22,250,26.22,0.713,34.72,25.76,23.04,18.88,13.39
8.63,66.55,95,30.04,0.86,34.91,29.27,26.62,22.78,17.47
9.95,75.56,296,27.07,0.686,34.65,26.0,23.12,19.28,14.04
15.24,72.95,184,27.95,0.719,34.77,26.84,24.2,19.71,13.71
22.94,68.59,260,25.46,0.655,34.85,24.51,21.71,17.98,12.98
13.06,76.8,287,26.62,0.668,34.47,25.64,22.79,18.65,13.51
16.12,67.91,155,28.12,0.725,34.96,27.54,24.91,20.84,15.03
8.67,60.99,186,28.72,0.734,35.05,27.59,24.29,19.67,14.6
10.37,64.46,69,30.1,0.792,34.89,28.71,25.95,21.33,16.41
23.79,67.41,326,25.44,0.553,34.89,25.02,22.03,17.35,11.34
23.44,62.67,261,25.62,0.619,35.25,24.73,22.23,19.09,13.79
8.08,76.11,115,30.76,0.745,34.71,29.93,26.86,23.67,18.44
23.23,73.04,347,26.3,0.687,34.55,25.61,22.67,17.89,12.5
18.23,64.56,8,27.57,0.666,34.97,26.62,23.32,18.62,13.47
21.89,70.04,265,25.95,0.586,35.04,25.3,22.61,18.31,12.87
15.28,72.26,271,26.87,0.604,34.64,25.75,22.82,19.16,13.81
16.25,76.0,249,27.1,0.701,34.72,26.08,23.07,19.22,13.15
15.82,74.99,105,28.94,0.701,34.7,27.87,25.03,21.8,16.1
18.67,68.76,263,26.43,0.657,34.97,25.48,22.15,17.93,12.81
10.23,73.17,224,28.09,0.776,34.63,27.13,24.03,19.65,13.94
8.48,69.56,328,28.11,0.728,34.78,27.11,24.19,20.11,14.6
12.93,69.4,271,27.03,0.66,34.73,25.7,23.3,19.14,13.3
19.27,61.95,165,27.66,0.653,35.2,26.66,23.89,19.78,14.08
11.23,62.14,83,29.33,0.767,34.95,28.2,25.44,21.38,15.98
18.77,69.0,295,26.15,0.649,34.82,25.36,22.55,19.3,13.76
23.52,64.57,134,28.01,0.733,35.18,26.92,25.08,21.03,14.98
9.5,60.36,211,28.52,0.63,35.25,27.57,25.03,20.5,14.77
18.76,72.29,313,26.28,0.704,34.81,25.15,21.68,17.47,12.39
15.1,60.55,92,29.13,0.675,35.01,28.2,25.43,21.62,16.44
21.89,70.12,337,26.65,0.65,34.7,26.03,23.53,19.67,14.18
10.83,69.17,127,29.69,0.816,34.95,28.38,25.04,21.15,15.75
19.08,76.47,191,27.4,0.603,34.55,26.55,23.78,19.0,13.31
21.41,68.23,159,27.62,0.695,34.77,26.73,23.72,19.0,13.92
23.11,61.08,331,26.13,0.643,35.22,25.12,22.04,17.89,12.31
18.93,69.38,335,26.72,0.67,34.77,25.57,23.14,19.22,13.35
15.95,74.3,10,27.65,0.714,34.88,26.55,23.5,19.06,13.05
17.89,76.95,107,28.88,0.737,34.58,27.8,24.73,21.23,15.21
21.9,67.32,87,28.04,0.658,34.82,27.16,24.06,20.18,14.44
17.13,65.45,67,28.23,0.721,35.07,27.21,24.02,19.72,14.71
8.49,75.41,62,29.81,0.764,34.74,28.79,25.74,22.76,18.06
22.9,63.25,146,27.73,0.699,35.07,27.07,24.04,19.75,14.57
19.03,70.46,153,27.35,0.774,34.7,26.15,22.91,18.66,12.63
18.82,66.9,107,28.22,0.77,34.93,27.27,24.38,20.11,14.28
11.45,60.7,148,29.2,0.819,35.11,27.95,24.29,20.2,14.37
18.54,65.9,186,27.77,0.717,34.94,26.64,23.81,19.28,13.7
14.3,64.51,349,28.03,0.782,34.88,26.72,24.12,20.32,14.56
18.42,71.66,342,27.42,0.659,34.82,26.18,23.2,19.45,14.13
9.71,76.13,178,28.9,0.723,34.44,27.71,24.95,21.12,15.54
18.53,64.56,335,26.77,0.65,35.08,25.93,23.03,18.75,13.52
23.99,73.79,266,25.67,0.62,34.62,24.94,22.84,18.56,13.24
8.77,60.94,149,29.27,0.75,35.18,27.95,25.37,21.52,16.41
23.63,69.15,247,25.29,0.637,34.79,24.25,21.17,17.16,11.44
14.51,61.2,254,26.55,0.684,35.17,25.6,23.15,18.73,13.51
21.93,75.88,29,27.81,0.774,34.61,26.88,24.72,19.81,14.08
20.52,73.03,352,26.61,0.607,34.64,25.91,23.05,18.79,13.27
17.07,71.19,266,26.75,0.624,34.58,25.59,22.92,19.03,13.28
19.82,74.01,13,27.54,0.598,34.67,26.28,23.79,19.89,14.49
22.06,71.01,47,28.09,0.679,34.8,27.37,24.2,19.49,14.39
14.47,76.47,151,28.32,0.702,34.4,26.95,23.55,19.78,14.63
13.23,72.14,50,28.94,0.71,34.62,27.63,24.83,21.47,16.07
18.68,75.72,215,26.9,0.631,34.54,25.86,22.79,18.55,13.01
20.93,68.79,132,27.85,0.709,34.62,26.93,24.01,19.83,14.32
20.2,61.99,113,27.54,0.681,35.19,26.78,24.25,19.94,14.9
20.77,68.98,252,25.56,0.601,34.79,24.49,21.86,17.62,11.86
14.97,62.16,341,27.14,0.69,35.14,26.42,23.74,20.13,14.77
21.09,70.07,53,27.67,0.677,34.69,26.51,23.64,19.22,14.06
9.92,68.2,130,29.86,0.812,35.07,28.7,25.6,21.6,16.1
16.71,70.58,324,27.02,0.674,34.63,26.24,23.19,18.98,13.75
8.09,60.17,193,28.82,0.721,35.14,27.88,25.54,21.52,16.68
13.19,63.31,79,30.0,0.78,35.19,28.39,26.18,21.96,16.43
13.86,68.35,57,29.47,0.674,34.75,29.01,26.5,22.72,17.15
14.34,76.16,97,29.48,0.803,34.56,28.43,25.44,21.76,16.32
19.13,66.52,198,26.57,0.698,35.0,25.72,22.54,18.59,13.24
14.22,67.21,135,28.96,0.707,34.76,27.9,25.86,21.68,16.57
15.18,72.15,147,28.7,0.686,34.65,28.15,25.44,21.66,16.54
11.8,70.26,172,28.52,0.685,34.81,27.73,25.02,20.62,15.22
13.97,65.08,63,29.68,0.704,35.04,29.1,26.07,22.14,16.05
11.64,66.98,65,29.55,0.689,34.84,28.6,25.96,21.65,15.72
9.17,63.7,295,27.34,0.632,35.24,26.42,23.54,19.53,14.32
17.66,76.42,211,26.69,0.565,34.59,25.55,22.45,17.97,12.28
18.69,62.22,109,29.23,0.732,35.19,28.27,25.3,21.67,16.49
17.91,66.32,282,26.2,0.651,35.02,25.46,22.76,18.15,12.9
15.42,60.44,172,27.48,0.746,35.03,26.57,24.16,20.01,14.45
14.08,63.77,12,28.15,0.754,35.04,27.18,23.83,19.14,13.39
21.81,73.27,333,25.75,0.613,34.67,24.75,21.57,17.94,12.39
16.31,63.42,220,27.31,0.679,35.04,26.59,23.62,20.14,14.7
15.67,61.36,342,26.8,0.718,35.17,26.06,22.92,18.35,12.43
8.41,68.07,286,27.34,0.672,34.67,26.44,23.61,19.64,14.41
13.46,60.17,172,28.4,0.729,35.21,27.45,24.43,20.22,14.93
14.08,61.44,236,27.46,0.67,35.11,26.47,23.67,19.78,14.33
14.38,73.73,166,28.36,0.722,34.44,27.59,24.78,21.31,15.87
17.28,73.12,187,27.14,0.687,34.72,26.39,23.14,19.19,14.12
16.54,75.56,170,28.03,0.697,34.46,26.9,23.99,19.59,13.87
17.73,74.53,52,28.34,0.763,34.58,27.47,24.35,19.98,14.37
20.24,71.61,319,26.65,0.635,34.71,25.91,23.43,19.19,13.71
21.01,60.89,189,27.17,0.69,34.98,26.18,23.13,18.74,13.06
19.49,73.31,120,28.17,0.786,34.49,27.46,24.42,20.62,15.09
23.29,74.37,105,28.11,0.726,34.68,27.44,24.3,20.54,14.57
8.29,73.58,162,29.45,0.722,34.6,28.25,25.39,21.79,16.17
11.13,68.64,295,27.82,0.718,34.81,26.49,23.59,19.32,13.78
8.12,63.96,41,29.98,0.867,35.05,28.98,26.49,22.85,17.13
18.36,74.37,364,27.59,0.699,34.45,27.07,24.21,20.78,15.67
22.37,72.36,165,27.6,0.73,34.66,26.82,24.36,19.73,14.36
11.9,76.67,321,27.6,0.698,34.52,26.68,24.29,20.0,14.47
22.83,62.65,335,25.95,0.66,35.27,24.89,21.96,17.82,12.14
8.96,63.84,160,29.37,0.748,34.95,28.26,25.33,21.56,15.6
22.95,63.6,264,25.47,0.593,35.13,24.62,21.66,18.09,12.39
13.63,73.47,353,28.09,0.728,34.66,26.91,23.67,18.88,13.4
9.62,63.18,18,29.14,0.695,34.96,28.14,26.0,21.63,16.11
15.77,61.13,173,28.15,0.702,35.09,27.27,24.24,20.6,14.88
12.11,76.98,352,27.76,0.779,34.61,26.66,23.5,19.06,14.06
12.56,60.42,33,29.11,0.741,35.26,28.08,24.89,21.11,15.94
12.92,74.2,261,26.71,0.634,34.58,26.09,23.09,19.22,13.59
20.85,66.21,210,26.81,0.684,34.99,25.83,22.89,19.1,13.78
16.63,74.31,330,27.31,0.667,34.52,26.14,23.68,19.9,14.79
12.98,69.43,164,28.73,0.736,34.81,27.48,25.16,20.89,15.49
17.77,75.33,5,27.73,0.655,34.54,26.86,23.4,19.2,13.65
19.46,75.75,34,27.88,0.737,34.66,26.48,24.08,19.85,13.8
12.36,60.15,280,26.97,0.684,35.24,25.84,23.5,19.49,13.97
14.62,61.28,145,28.72,0.692,35.08,27.54,24.51,19.56,13.83
9.95,64.26,351,29.02,0.755,34.97,27.92,24.77,20.87,15.19
10.9,71.38,71,29.76,0.84,34.74,28.69,25.93,22.51,16.92
18.9,75.1,348,26.62,0.637,34.58,25.78,22.77,18.75,13.19
10.9,67.82,230,27.18,0.716,34.86,26.24,23.83,19.68,14.07
16.4,70.32,125,28.31,0.736,34.75,27.59,24.87,20.8,14.9
19.34,63.2,278,25.99,0.666,35.21,25.02,21.97,18.08,12.05
9.71,73.68,271,27.92,0.744,34.61,26.71,23.92,20.28,15.03
17.08,76.44,357,27.17,0.674,34.57,26.4,23.58,19.46,14.47
12.11,64.57,15,29.12,0.75,35.26,27.75,24.3,20.13,14.66
23.41,68.41,242,25.72,0.645,34.78,25.06,21.94,17.29,11.46
15.74,61.46,153,28.57,0.693,35.16,27.63,24.59,20.51,15.3
20.9,69.51,53,28.15,0.733,34.84,27.38,24.63,20.05,15.17
16.8,68.55,149,28.51,0.711,34.86,27.64,24.95,20.64,15.5
8.69,62.46,358,28.63,0.802,35.11,27.55,25.01,21.26,16.16
18.13,67.52,219,26.07,0.632,34.81,25.19,22.17,18.47,12.62
23.22,65.68,113,27.66,0.647,35.01,26.62,23.35,19.44,13.77
17.63,68.87,288,26.13,0.699,34.66,25.07,21.96,18.35,13.21
21.11,69.96,277,25.93,0.618,34.98,25.43,22.41,17.65,11.78
22.15,60.14,83,28.13,0.665,35.37,27.43,24.36,20.91,15.24
11.65,72.94,218,27.68,0.716,34.65,26.85,23.98,19.54,14.1
11.39,72.12,226,28.2,0.769,34.82,27.08,24.4,20.42,15.09
17.78,66.23,270,26.14,0.684,34.92,25.24,22.27,17.9,12.32
14.58,60.9,15,27.65,0.677,35.16,26.77,24.08,20.11,14.61
21.44,72.83,290,25.87,0.651,34.62,25.26,22.72,18.63,13.18
22.4,76.24,339,26.68,0.659,34.63,25.81,22.98,19.34,13.77
13.65,64.08,265,27.05,0.748,34.98,26.14,22.92,19.81,14.16
11.79,65.5,199,27.99,0.692,35.06,27.09,24.16,20.41,14.87
20.49,63.12,158,27.69,0.705,35.07,27.01,24.46,20.31,14.65
12.4,69.81,333,28.26,0.725,34.81,27.19,24.52,21.03,15.8
21.16,62.63,207,26.27,0.612,34.95,25.67,22.55,17.77,12.36
14.78,66.06,174,28.17,0.707,34.96,26.9,24.4,20.07,14.54
18.68,71.85,184,27.57,0.69,34.61,26.44,23.49,19.3,13.73
9.53,69.52,265,27.66,0.755,34.83,26.67,23.47,19.26,14.07
17.98,66.57,246,26.36,0.669,35.13,25.53,22.69,18.29,12.68
15.23,67.14,36,28.48,0.709,34.78,27.46,24.15,20.33,15.05
17.39,69.56,259,26.35,0.655,34.8,25.32,22.69,18.59,13.45
10.69,60.1,19,29.14,0.742,35.13,27.99,25.46,21.31,15.96
19.79,61.33,23,27.84,0.704,35.04,26.77,23.62,20.08,14.1
21.8,74.98,104,28.73,0.769,34.52,27.88,24.94,20.66,15.04
11.47,61.32,241,27.0,0.719,35.29,25.64,23.04,19.36,13.6
9.53,72.02,361,29.22,0.707,34.89,28.35,25.1,20.89,15.03
8.38,75.64,204,28.45,0.766,34.47,27.41,24.16,19.96,14.79
18.27,64.6,253,26.31,0.689,35.06,25.65,22.74,18.33,12.95
17.71,66.3,142,28.57,0.725,34.86,27.68,24.73,20.05,13.78
16.75,69.67,302,26.88,0.618,34.75,25.93,23.14,18.77,13.27
11.71,74.99,143,29.54,0.765,34.4,28.52,25.61,20.8,15.1
14.25,76.01,271,27.28,0.674,34.77,26.14,22.9,18.91,13.69
17.51,72.57,307,26.55,0.689,34.81,25.37,22.05,17.82,12.12
15.95,61.47,110,29.36,0.777,35.08,28.2,24.92,21.25,15.85
23.8,71.38,8,26.61,0.721,34.77,25.72,23.01,18.62,13.21
10.18,66.98,69,29.69,0.718,34.88,28.44,25.87,21.66,15.92
19.12,68.0,190,27.12,0.769,34.97,26.49,23.58,19.97,14.17
14.47,60.84,179,27.94,0.744,35.13,26.81,24.15,20.41,15.52
14.85,63.25,63,29.05,0.77,35.05,28.15,25.08,21.03,15.65
19.48,73.44,68,28.65,0.806,34.6,27.88,24.87,20.35,14.87
19.08,67.72,206,27.06,0.695,34.95,26.41,23.84,19.98,14.84
23.86,65.13,6,26.56,0.708,35.22,25.89,23.18,18.96,13.99
10.05,66.53,119,29.55,0.763,34.91,28.44,25.61,21.3,16.25
9.67,74.52,313,27.56,0.73,34.59,26.81,23.9,20.33,14.42
19.59,72.73,31,27.9,0.753,34.69,26.76,23.54,20.02,14.53
17.25,64.63,6,27.26,0.73,35.04,26.14,23.3,18.84,13.26
12.39,62.0,207,27.58,0.637,35.09,26.6,23.87,20.46,15.52
9.27,64.28,157,29.18,0.729,34.99,28.1,25.9,21.77,16.48
9.37,75.65,67,30.21,0.823,34.58,29.28,26.34,22.56,16.67
22.31,69.89,330,26.13,0.674,34.63,25.33,22.38,19.02,12.96
11.07,69.07,353,28.6,0.726,34.78,27.61,24.83,20.67,15.65
13.17,70.14,336,27.71,0.721,34.59,26.89,24.46,20.47,14.96
11.63,66.22,289,27.15,0.64,34.9,26.14,23.42,19.61,14.1
13.68,73.72,140,28.82,0.766,34.56,27.95,25.01,21.54,15.94
9.11,68.9,300,27.4,0.707,34.91,26.16,23.07,18.97,13.22
16.3,61.98,13,28.74,0.736,35.05,27.65,24.53,20.76,15.27
9.08,62.19,152,29.77,0.756,35.08,28.85,26.21,21.8,16.54
20.81,69.13,313,26.32,0.669,34.62,25.48,22.56,17.87,12.36
11.74,75.92,352,27.78,0.692,34.67,26.77,24.53,20.15,14.97
16.64,65.24,109,28.71,0.718,34.88,27.63,24.79,20.42,15.13
22.08,74.78,356,26.41,0.734,34.56,25.49,22.77,19.06,13.83
18.41,72.99,149,28.13,0.65,34.76,27.28,24.28,20.16,14.71
